,name,avg,stdev,95CI-,95CI+,min,max
0,r.num,5000.5,2886.8956799071675,4943.914015303849,5057.085984696151,1,10000
1,Duration,173.265675,121.01546150073798,170.89365335053787,175.6376966494621,2.0,623.25
2,Epidemic,183.3336,151.04885264916336,180.37289444909777,186.2943055509022,0.0,517.0
3,extinctions,0.3673,0.4820933015456028,0.35785049880283387,0.37674950119716616,False,True
4,Rt,1.529015,0.357881834850236,1.5220001652864308,1.5360298347135692,0.66,2.59
5,ep_high,130.9479,107.10919579369624,128.8484547875585,133.0473452124415,0.0,358.0
6,ep_low,52.3857,44.630141389671245,51.51090548794329,53.26049451205671,0.0,175.0
7,p_uncert,0.997456,0.14394769938424093,0.9946344840127425,1.0002775159872577,0.75,1.25
8,prevention,0.632,0.48228545481487683,0.6225467324104318,0.6414532675895682,0.0,1.0
9,time_until,54.7082,49.19781596036074,53.743874589700944,55.67252541029905,0.0,315.0
10,Unnamed: 9,,,,,,
