,name,avg,stdev,95CI-,95CI+,min,max
0,Unnamed: 0,4999.5,2886.8956799071675,4942.914015303849,5056.085984696151,0,9999
1,Duration,180.578575,122.36142412554203,178.1801711639494,182.9769788360506,2.25,629.0
2,Epidemic,207.2995,160.27727936416326,204.15790824094725,210.44109175905274,0.0,538.0
3,extinctions,0.3494,0.4768043353802729,0.3400541677232499,0.35874583227675005,False,True
4,ep_high,147.298,113.21998883848761,145.07877725485423,149.51722274514577,0.0,375.0
5,ep_low,60.0015,47.80590170861562,59.06445747321343,60.93854252678657,0.0,186.0
6,Rt,1.479335225876333,0.37713829281123895,1.4719429457139839,1.4867275060386822,0.5632674030962186,2.6018979436282783
7,delay_time,0.0,0.0,0.0,0.0,0.0,0.0
8,time_until,58.81455,51.66145406762317,57.80193486825216,59.82716513174783,0.0,367.25
9,prevention,0.6452,0.4784765971135877,0.6358213897543376,0.6545786102456624,0.0,1.0
