,name,avg,stdev,95CI-,95CI+,min,max
0,Unnamed: 0,4999.5,2886.90,4942.914015303849,5056.085984696151,0,9999
1,Duration,179.9671,122.98,177.5566188305347,182.3775811694653,1.5,714.75
2,Epidemic,201.9527,161.07,198.7956038934313,205.1097961065687,0.0,632.0
3,extinctions,0.3502,0.48,0.34084922886905156,0.35955077113094847,False,True
4,ep_high,143.5707,113.59,141.34426780324316,145.79713219675682,0.0,423.0
5,ep_low,58.382,48.21,57.43698686096317,59.32701313903683,0.0,209.0
6,Rt,1.4867508638958158,0.38,1.4793967428101775,1.494104984981454,0.6374473664930165,2.56923573154344
7,delay_time,3.5175793651979066,3.59,3.447175492993348,3.587983237402465,0.00028696643289914084,41.37314434868245
8,time_until,59.170849983116305,51.58,58.15975967533575,60.18194029089686,0.0,430.63063863573797
9,prevention,0.649,0.48,0.6396443189067574,0.6583556810932426,0.0,1.0
